504a391b,dep1,tyrS.d6-Esc1
945bd954,dep2,tyrS.d7-Esc1
e3bbe9be,dep3,tyrS.d8-Esc2
fa4ea223,dep4,adk.d6-Esc1
137448a0,dep5,adk.d6_tyrS.d6-Esc1
2272000f,dep6,adk.d6_tyrS.d6-Esc3
f71ab291,dep7,adk.d6_tyrS.d7-Esc1
ca63f48a,dep8,adk.d6_tyrS.d7-Esc2
3072f387,dep9,adk.d6_tyrS.d7-Esc3
57d8272d,dep10,adk.d6_tyrS.d8-DEP
a4712e8d,dep11,adk.d6_tyrS.d8-Esc1
7d467360,dep12,adk.d6_tyrS.d8-Esc2
b385a357,dep13,adk.d6_tyrS.d8-Esc3
607d41e3,dep14,adk.d6_tyrS.d6-Esc scrape
800854e3,dep15,adk.d6_tyrS.d7-Esc scrape
e6262596,dep16,adk.d6_tyrS.d8-Esc scrape
